city,country,lon,lat,temp,max_temp,min_temp,humidity,cloudiness,WindSpeed,Date
Songwa,TZ,33.52,-3.51,69.36,69.36,69.36,51,0,12.77,1538180883
Ushuaia,AR,-68.31,-54.81,37.4,37.4,37.4,86,90,21.92,1538175600
Hermanus,ZA,19.24,-34.42,44.61,44.61,44.61,91,56,1.92,1538180909
Busselton,AU,115.35,-33.64,59.46,59.46,59.46,100,76,20.15,1538180909
Homer,US,-151.54,59.64,55.04,57.02,53.06,80,90,10.29,1538179500
Victoria,BN,115.24,5.28,82.4,82.4,82.4,83,75,1.12,1538179200
Rikitea,PF,-134.97,-23.12,71.88,71.88,71.88,100,92,4.83,1538180910
Albany,US,-73.75,42.65,55,57.92,51.08,80,75,2.37,1538178840
Chokurdakh,RU,147.9,70.62,30.21,30.21,30.21,100,56,6.17,1538180910
Chuy,UY,-53.46,-33.69,62.79,62.79,62.79,96,92,23.4,1538180910
Izazi,TZ,35.72,-7.24,56.04,56.04,56.04,88,0,2.04,1538180910
Bredasdorp,ZA,20.04,-34.53,55.4,55.4,55.4,62,36,4.7,1538179200
Kudahuvadhoo,MV,72.89,2.67,78.18,78.18,78.18,100,76,17.25,1538180911
Port Alfred,ZA,26.89,-33.59,63.06,63.06,63.06,85,0,26.98,1538180911
Port-Gentil,GA,8.78,-0.72,78.8,78.8,78.8,88,75,6.93,1538175600
Ayan,TR,33.6,40.67,37.95,37.95,37.95,82,0,1.59,1538180911
Fonte Boa,BR,-66.09,-2.51,79.53,79.53,79.53,88,0,3.71,1538180911
Sitka,US,-99.65,37.17,59.82,59.82,59.82,81,92,17.58,1538180912
Airai,TL,125.41,-8.93,76.11,76.11,76.11,62,0,2.37,1538180912
Nome,US,-94.42,30.04,78.13,80.06,76.46,79,1,3.36,1538178900
Broome,GB,1.45,52.47,40.75,42.8,36.86,93,0,4.7,1538178960
Norman Wells,CA,-126.83,65.28,37.4,37.4,37.4,59,75,10.29,1538179200
Mumbwa,ZM,27.06,-14.99,70.17,70.17,70.17,47,0,9.42,1538180912
Hellebaek,DK,12.56,56.07,40.98,48.2,37.4,86,92,2.24,1538178600
Vila Velha,BR,-38.6,-3.71,80.6,80.6,80.6,78,0,10.29,1538179200
Hithadhoo,MV,73.08,-0.6,79.26,79.26,79.26,100,92,19.82,1538180913
Bani Walid,LY,14,31.76,59.46,59.46,59.46,79,0,9.42,1538180913
Zhigalovo,RU,105.15,54.81,28.32,28.32,28.32,84,12,1.7,1538180913
Ubinskoye,RU,79.68,55.31,45.06,45.06,45.06,88,0,14.67,1538180913
Ergani,TR,39.76,38.27,60.78,62.6,59,39,0,3.36,1538178600
Jacareacanga,BR,-57.76,-6.22,79.62,79.62,79.62,81,12,2.26,1538180914
Ternate,PH,120.72,14.29,80.6,80.6,80.6,100,40,2.24,1538175600
Cherskiy,RU,161.3,68.75,37.32,37.32,37.32,86,32,3.15,1538180914
Talnakh,RU,88.39,69.49,47.76,47.76,47.76,85,8,16.46,1538180914
East London,ZA,27.91,-33.02,65.31,65.31,65.31,100,0,30.33,1538180720
Sampit,ID,112.95,-2.54,77.37,77.37,77.37,85,0,5.95,1538180914
Arraial do Cabo,BR,-42.02,-22.97,72.69,72.69,72.69,98,64,6.29,1538180914
Puerto Carreno,CO,-67.49,6.19,77,77,77,94,75,2.48,1538179200
Chicama,PE,-79.15,-7.84,62.6,62.6,62.6,88,20,6.93,1538179200
Longyearbyen,NO,15.63,78.22,26.6,26.6,26.6,79,75,17.22,1538178600
Punta Arenas,CL,-70.91,-53.16,41,41,41,75,0,8.05,1538179200
Jamestown,AU,138.6,-33.21,52.08,52.08,52.08,47,0,8.97,1538180915
Kangaatsiaq,GL,-53.46,68.31,36.06,36.06,36.06,100,64,13.22,1538180916
Yellowknife,CA,-114.38,62.45,33.8,33.8,33.8,69,75,20.8,1538179200
Mount Isa,AU,139.49,-20.73,87.8,87.8,87.8,18,0,6.93,1538179200
Pevek,RU,170.27,69.7,44.07,44.07,44.07,90,56,3.38,1538180916
Sao Joao da Barra,BR,-41.05,-21.64,75.2,75.2,75.2,88,90,11.41,1538175600
Siguiri,GN,-9.17,11.42,70.17,70.17,70.17,98,76,6.62,1538180916
Hobart,AU,147.33,-42.88,53.6,53.6,53.6,64,20,21.92,1538179200
Fairbanks,US,-147.72,64.84,54.5,55.04,53.96,7,1,11.41,1538179080
Zeya,RU,127.27,53.74,48.57,48.57,48.57,64,0,3.38,1538180916
Kodiak,US,-94.76,39.95,51.98,51.98,51.98,66,90,9.17,1538178780
Havre-Saint-Pierre,CA,-63.6,50.23,48.2,48.2,48.2,81,90,10.29,1538179200
Acaponeta,MX,-105.36,22.49,82.41,82.41,82.41,96,68,4.38,1538180917
Mataura,NZ,168.86,-46.19,58.74,58.74,58.74,62,80,25.08,1538180917
Tuktoyaktuk,CA,-133.03,69.44,30.2,30.2,30.2,86,90,6.93,1538179200
Talara,PE,-81.27,-4.58,62.6,62.6,62.6,290,40,9.17,1538175600
Thompson,CA,-97.86,55.74,33.8,33.8,33.8,59,90,10.29,1538179200
Geraldton,CA,-86.95,49.72,37.4,37.4,37.4,86,75,3.36,1538179200
Saint-Philippe,CA,-73.48,45.36,61.25,64.4,59.18,82,20,11.41,1538179200
Mitsamiouli,KM,43.28,-11.38,77,77,77,69,20,3.36,1538175600
Batagay-Alyta,RU,130.41,67.8,15.9,15.9,15.9,78,8,4.61,1538180918
Cayenne,GF,-52.33,4.94,80.6,80.6,80.6,94,0,2.24,1538179200
Tual,ID,132.75,-5.67,81.06,81.06,81.06,97,0,17.69,1538180918
Qaanaaq,GL,-69.36,77.48,13.29,13.29,13.29,100,0,11.77,1538180919
Cacule,BR,-42.22,-14.5,75.21,75.21,75.21,38,0,10.42,1538180919
